churn,path
1,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/node_details/tabs/anomalies/anomalies.tsx
1,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/node_details/tabs/metrics/chart_section.tsx
1,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/node_details/tabs/osquery/index.tsx
1,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/snapshot_container.tsx
1,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/toolbars/save_views.tsx
1,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/waffle/metric_control/get_custom_metric_label.ts
1,x-pack/plugins/infra/public/pages/metrics/inventory_view/toolbar.tsx
1,x-pack/plugins/infra/public/pages/metrics/layouts/index.ts
1,x-pack/plugins/infra/public/pages/metrics/lib/side_nav_context.ts
1,x-pack/plugins/infra/public/store/local/log_filter/index.ts
1,x-pack/plugins/infra/public/store/local/log_position/epic.ts
1,x-pack/plugins/infra/public/store/local/log_position/index.ts
1,x-pack/plugins/infra/public/store/remote/index.ts
1,x-pack/plugins/infra/public/store/remote/log_entries/index.ts
1,x-pack/plugins/infra/public/store/remote/log_entries/reducer.ts
1,x-pack/plugins/infra/public/store/remote/log_entries/selectors.ts
1,x-pack/plugins/infra/public/store/remote/log_summary/actions.ts
1,x-pack/plugins/infra/public/store/remote/log_summary/operations/log_summary.gql_query.ts
1,x-pack/plugins/infra/public/store/remote/source/actions.ts
1,x-pack/plugins/infra/public/test_utils/use_global_storybook_theme.tsx
1,x-pack/plugins/infra/public/translations.ts
1,x-pack/plugins/infra/public/utils/fetch.ts
1,x-pack/plugins/infra/public/utils/formatters/bytes.test.ts
1,x-pack/plugins/infra/public/utils/formatters/bytes.ts
1,x-pack/plugins/infra/public/utils/formatters/data.ts
1,x-pack/plugins/infra/public/utils/formatters/datetime.ts
1,x-pack/plugins/infra/public/utils/formatters/high_precision.ts
1,x-pack/plugins/infra/public/utils/use_kibana_query_settings.ts
1,x-pack/plugins/infra/server/deprecations.test.ts
1,x-pack/plugins/infra/server/graphql/capabilities/index.ts
1,x-pack/plugins/infra/server/graphql/capabilities/resolvers.ts
1,x-pack/plugins/infra/server/graphql/capabilities/schema.gql.ts
1,x-pack/plugins/infra/server/graphql/metadata/index.ts
1,x-pack/plugins/infra/server/graphql/metrics/index.ts
1,x-pack/plugins/infra/server/graphql/metrics/schema.gql.ts
1,x-pack/plugins/infra/server/graphql/snapshot/index.ts
1,x-pack/plugins/infra/server/lib/adapters/capabilities/adapter_types.ts
1,x-pack/plugins/infra/server/lib/adapters/capabilities/elasticsearch_capabilities_adapter.ts
1,x-pack/plugins/infra/server/lib/adapters/capabilities/index.ts
1,x-pack/plugins/infra/server/lib/adapters/configuration/index.ts
1,x-pack/plugins/infra/server/lib/adapters/configuration/kibana_configuration_adapter.test.ts
1,x-pack/plugins/infra/server/lib/adapters/metadata/index.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/container/container_cpu_kernel.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/container/container_cpu_usage.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/container/container_memory.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/container/container_network_traffic.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/container/container_overview.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/host/host_cpu_usage.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/host/host_filesystem.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/host/host_k8s_cpu_cap.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/host/host_k8s_disk_cap.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/host/host_k8s_memory_cap.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/host/host_load.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/host/host_memory_usage.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/host/host_network_traffic.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/host/host_system_overview.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/nginx/nginx_active_connections.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/nginx/nginx_request_rate.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/nginx/nginx_requests_per_connection.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/pod/pod_cpu_usage.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/pod/pod_log_usage.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/pod/pod_memory_usage.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/pod/pod_network_traffic.ts
1,x-pack/plugins/infra/server/lib/adapters/metrics/models/pod/pod_overview.ts
1,x-pack/plugins/infra/server/lib/adapters/sources/index.ts
1,x-pack/plugins/infra/server/lib/alerting/inventory_metric_threshold/register_inventory_metric_threshold_rule_type.ts
1,x-pack/plugins/infra/server/lib/alerting/metric_threshold/create_percentile_aggregation.ts
1,x-pack/plugins/infra/server/lib/alerting/metric_threshold/lib/create_timerange.test.ts
1,x-pack/plugins/infra/server/lib/alerting/metric_threshold/lib/create_timerange.ts
1,x-pack/plugins/infra/server/lib/alerting/register_rule_types.ts
1,x-pack/plugins/infra/server/lib/domains/capabilities_domain/capabilities_domain.ts
1,x-pack/plugins/infra/server/lib/domains/capabilities_domain/index.ts
1,x-pack/plugins/infra/server/lib/domains/metadata_domain/index.ts
1,x-pack/plugins/infra/server/lib/log_analysis/queries/log_entry_rate_examples.ts
1,x-pack/plugins/infra/server/lib/snapshot/metric_aggregation_creators/count.ts
1,x-pack/plugins/infra/server/lib/snapshot/metric_aggregation_creators/cpu.ts
1,x-pack/plugins/infra/server/lib/snapshot/metric_aggregation_creators/index.ts
1,x-pack/plugins/infra/server/lib/snapshot/metric_aggregation_creators/load.ts
1,x-pack/plugins/infra/server/lib/snapshot/metric_aggregation_creators/log_rate.ts
1,x-pack/plugins/infra/server/lib/snapshot/metric_aggregation_creators/memory.ts
1,x-pack/plugins/infra/server/lib/snapshot/metric_aggregation_creators/rate.ts
1,x-pack/plugins/infra/server/lib/snapshot/metric_aggregation_creators/rx.ts
1,x-pack/plugins/infra/server/lib/snapshot/metric_aggregation_creators/tx.ts
1,x-pack/plugins/infra/server/lib/sources/migrations/7_13_0_convert_log_alias_to_log_indices.test.ts
1,x-pack/plugins/infra/server/lib/sources/migrations/7_13_0_convert_log_alias_to_log_indices.ts
1,x-pack/plugins/infra/server/lib/sources/migrations/7_16_2_extract_inventory_default_view_reference.test.ts
1,x-pack/plugins/infra/server/lib/sources/migrations/7_16_2_extract_inventory_default_view_reference.ts
1,x-pack/plugins/infra/server/lib/sources/migrations/7_16_2_extract_metrics_explorer_default_view_reference.test.ts
1,x-pack/plugins/infra/server/lib/sources/migrations/7_16_2_extract_metrics_explorer_default_view_reference.ts
1,x-pack/plugins/infra/server/lib/sources/migrations/compose_migrations.test.ts
1,x-pack/plugins/infra/server/lib/sources/migrations/compose_migrations.ts
1,x-pack/plugins/infra/server/lib/sources/migrations/create_test_source_configuration.ts
1,x-pack/plugins/infra/server/logging_legacy/converters.ts
1,x-pack/plugins/infra/server/logging_legacy/elasticsearch.ts
1,x-pack/plugins/infra/server/logging_legacy/index.ts
1,x-pack/plugins/infra/server/logging_legacy/latest_log_entries.ts
1,x-pack/plugins/infra/server/logging_legacy/schemas.ts
1,x-pack/plugins/infra/server/routes/log_analysis/results/log_entry_rate_examples.ts
1,x-pack/plugins/infra/server/routes/metrics_explorer/lib/query_total_grouping.test.ts
1,x-pack/plugins/infra/server/routes/metrics_explorer/schema.ts
1,x-pack/plugins/infra/server/routes/metrics_explorer/types.ts
1,x-pack/plugins/infra/server/routes/overview/lib/convert_es_response_to_top_nodes_response.ts
1,x-pack/plugins/infra/server/routes/overview/lib/get_matadata_from_node_bucket.ts
1,x-pack/plugins/infra/server/routes/overview/lib/get_top_nodes.ts
1,x-pack/plugins/infra/server/routes/overview/lib/types.ts
1,x-pack/plugins/infra/server/routes/snapshot/lib/transform_metrics_ui_response.test.ts
1,x-pack/plugins/infra/server/routes/snapshot/lib/transform_metrics_ui_response.ts
1,x-pack/plugins/infra/server/services/rules/index.ts
1,x-pack/plugins/infra/server/services/rules/rules_service.ts
2,x-pack/plugins/infra/common/alerting/logs/log_threshold/index.ts
2,x-pack/plugins/infra/common/alerting/logs/log_threshold/rule_data.ts
2,x-pack/plugins/infra/common/dependency_mocks/index_patterns.ts
2,x-pack/plugins/infra/common/ecs_allowed_list.test.ts
2,x-pack/plugins/infra/common/ecs_allowed_list.ts
2,x-pack/plugins/infra/common/formatters/bytes.test.ts
2,x-pack/plugins/infra/common/formatters/bytes.ts
2,x-pack/plugins/infra/common/formatters/datetime.ts
2,x-pack/plugins/infra/common/formatters/get_custom_metric_label.ts
2,x-pack/plugins/infra/common/formatters/high_precision.ts
2,x-pack/plugins/infra/common/formatters/number.ts
2,x-pack/plugins/infra/common/formatters/percent.ts
2,x-pack/plugins/infra/common/formatters/types.ts
2,x-pack/plugins/infra/common/http_api/host_details/index.ts
2,x-pack/plugins/infra/common/http_api/infra_ml/index.ts
2,x-pack/plugins/infra/common/http_api/infra_ml/results/index.ts
2,x-pack/plugins/infra/common/http_api/ip_to_hostname/index.ts
2,x-pack/plugins/infra/common/http_api/log_alerts/index.ts
2,x-pack/plugins/infra/common/http_api/log_analysis/index.ts
2,x-pack/plugins/infra/common/http_api/log_analysis/results/log_entry_anomalies_datasets.ts
2,x-pack/plugins/infra/common/http_api/log_analysis/results/log_entry_category_datasets.ts
2,x-pack/plugins/infra/common/http_api/log_analysis/results/log_entry_category_datasets_stats.ts
2,x-pack/plugins/infra/common/http_api/log_analysis/results/log_entry_rate_examples.ts
2,x-pack/plugins/infra/common/http_api/shared/index.ts
2,x-pack/plugins/infra/common/http_api/shared/metric_statistics.ts
2,x-pack/plugins/infra/common/http_api/shared/timing.ts
2,x-pack/plugins/infra/common/infra_ml/index.ts
2,x-pack/plugins/infra/common/infra_ml/job_parameters.ts
2,x-pack/plugins/infra/common/infra_ml/metrics_hosts_ml.ts
2,x-pack/plugins/infra/common/infra_ml/metrics_k8s_ml.ts
2,x-pack/plugins/infra/common/inventory_models/aws_ec2/metrics/index.ts
2,x-pack/plugins/infra/common/inventory_models/aws_ec2/metrics/tsvb/aws_ec2_cpu_utilization.ts
