complexity,path
5,x-pack/plugins/infra/public/alerting/log_threshold/components/expression_editor/criteria.tsx
22,x-pack/plugins/infra/public/alerting/log_threshold/components/expression_editor/criterion.tsx
39,x-pack/plugins/infra/public/alerting/log_threshold/components/expression_editor/criterion_preview_chart.tsx
25,x-pack/plugins/infra/public/alerting/log_threshold/components/expression_editor/editor.tsx
4,x-pack/plugins/infra/public/alerting/log_threshold/components/expression_editor/threshold.tsx
4,x-pack/plugins/infra/public/alerting/log_threshold/components/expression_editor/type_switcher.tsx
2,x-pack/plugins/infra/public/alerting/metric_anomaly/components/alert_flyout.tsx
27,x-pack/plugins/infra/public/alerting/metric_anomaly/components/expression.tsx
7,x-pack/plugins/infra/public/alerting/metric_anomaly/components/influencer_filter.tsx
1,x-pack/plugins/infra/public/alerting/metric_anomaly/components/node_type.tsx
1,x-pack/plugins/infra/public/alerting/metric_anomaly/components/severity_threshold.tsx
1,x-pack/plugins/infra/public/alerting/metric_anomaly/components/validation.tsx
2,x-pack/plugins/infra/public/alerting/metric_threshold/components/alert_flyout.tsx
57,x-pack/plugins/infra/public/alerting/metric_threshold/components/expression.tsx
13,x-pack/plugins/infra/public/alerting/metric_threshold/components/expression_chart.tsx
2,x-pack/plugins/infra/public/alerting/metric_threshold/components/expression_row.test.tsx
21,x-pack/plugins/infra/public/alerting/metric_threshold/components/expression_row.tsx
39,x-pack/plugins/infra/public/alerting/metric_threshold/components/validation.tsx
8,x-pack/plugins/infra/public/apps/legacy_app.tsx
1,x-pack/plugins/infra/public/apps/logs_app.tsx
4,x-pack/plugins/infra/public/apps/metrics_app.tsx
37,x-pack/plugins/infra/public/components/auto_sizer.tsx
37,x-pack/plugins/infra/public/components/autocomplete_field/autocomplete_field.tsx
3,x-pack/plugins/infra/public/components/autocomplete_field/suggestion_item.tsx
3,x-pack/plugins/infra/public/components/basic_table/row_expansion_button.tsx
6,x-pack/plugins/infra/public/components/data_search_error_callout.tsx
3,x-pack/plugins/infra/public/components/data_search_progress.tsx
3,x-pack/plugins/infra/public/components/document_title.tsx
2,x-pack/plugins/infra/public/components/error_page.tsx
2,x-pack/plugins/infra/public/components/formatted_time.tsx
2,x-pack/plugins/infra/public/components/loading_overlay_wrapper.tsx
24,x-pack/plugins/infra/public/components/log_stream/log_stream.tsx
5,x-pack/plugins/infra/public/components/log_stream/log_stream_embeddable.tsx
2,x-pack/plugins/infra/public/components/log_stream/log_stream_error_boundary.tsx
4,x-pack/plugins/infra/public/components/logging/log_analysis_job_status/log_analysis_job_problem_indicator.tsx
1,x-pack/plugins/infra/public/components/logging/log_analysis_job_status/quality_warning_notices.tsx
2,x-pack/plugins/infra/public/components/logging/log_analysis_results/analyze_in_ml_button.tsx
3,x-pack/plugins/infra/public/components/logging/log_analysis_results/anomaly_severity_indicator.tsx
3,x-pack/plugins/infra/public/components/logging/log_analysis_results/category_expression.tsx
1,x-pack/plugins/infra/public/components/logging/log_analysis_results/datasets_selector.tsx
3,x-pack/plugins/infra/public/components/logging/log_analysis_setup/create_job_button.tsx
4,x-pack/plugins/infra/public/components/logging/log_analysis_setup/initial_configuration_step/analysis_setup_indices_form.tsx
11,x-pack/plugins/infra/public/components/logging/log_analysis_setup/initial_configuration_step/analysis_setup_timerange_form.tsx
8,x-pack/plugins/infra/public/components/logging/log_analysis_setup/initial_configuration_step/index_setup_dataset_filter.tsx
11,x-pack/plugins/infra/public/components/logging/log_analysis_setup/initial_configuration_step/index_setup_row.tsx
5,x-pack/plugins/infra/public/components/logging/log_analysis_setup/initial_configuration_step/initial_configuration_step.tsx
16,x-pack/plugins/infra/public/components/logging/log_analysis_setup/process_step/process_step.tsx
